,variable,value
802,AERO CLUB BARCELONA SABADELL,Aero Club Barcelona Sabadell
803,AERO CONSULTANTS AG,AERO CONSULTANTS AG
804,AERO ENTERPRISE GMBH,AERO ENTERPRISE GMBH
805,AERO GLASS KORLATOLT FELELOSSEGU TARSASAG,Aero Glass Korlatolt Felelossegu Tarsasag
806,AERO KOMMUNE,Aero Municipality
807,AERO SEKUR SPA,Aero guilty spa
808,AERO-MAGNESIUM LIMITED (A.C.S),AERO-MAGNESIUM LIMITED (A.C.S)
809,AERO41 SA,Aero41 are
810,AEROBITS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,Aerobits Spool with limited responsibility
811,AEROCIRCULAR,Aerocircular
812,AEROCONSEIL SAS,Your airtock
813,"Aerodyne Research, Inc.","Aerodyne Research, Inc."
814,AEROFIT AS,Aerofit MP
815,AEROFLEX LTD,AEROFLEX LTD
816,"AEROFLY 360 INDUSTRIAL, SOCIEDAD LIMITADA","Aerofly 360 Industrial, Limited Society"
817,AEROGEN LTD,AEROGEN LTD
818,AEROMECCANICA STRANICH SPA,Aeroician side spa
819,AEROMECHS SRL,Aeromechs srl
820,AEROMETALLIC COMPONENTS SA,Aerometallic SA Components
821,AEROMON OY,Ayano Mono Y
822,AERONAMIC BV,AERONAMIC BV
823,"AERONAUTICA, INGENIERIA, ENERGIAS RENOVABLES Y SEGURIDAD","Aeronautics, Engineering, Renewable Energy and Safety"
824,AEROPORTI DI PUGLIA SOCIETA PER AZIONI,AIRPORTS OF PUGLIA COMPANY FOR ACTIONS
825,AEROPORTI DI ROMA SPA,Rome Spa Airports
826,AEROPORTI NDERKOMBETAR I PRISHTINES KONTROLLI AJROR ADEM JASHARI SHA,Pristina International Airport Adem Jashari Sha
827,AEROPORTS DE PARIS SA,Airports of Paris SA
828,AEROPORTUL IASI RA,Iasi RA Airport
829,AEROPORTUL INTERNATIONAL SIBIU RA,Sibiu Ra International Airport
830,AEROPOWDER LIMITED,AEROPOWDER LIMITED
831,AEROSERTEC SL,AEROSERTEC SL
832,AEROSINT,AEROSINT
833,AEROSOFT SPA,AEROSOFT SPA
834,AEROSPACE & ADVANCED COMPOSITES GMBH,AEROSPACE & ADVANCED COMPOSITES GMBH
835,AEROSPACE INTERNATIONAL SERVICES LIMITED,AEROSPACE INTERNATIONAL SERVICES LIMITED
836,AEROSPACE LOGISTICS TECHNOLOGY ENGINEERING COMPANY SPA,AEROSPACE LOGISTICS TECHNOLOGY ENGINEERING COMPANY SPA
837,AEROSPACE VALLEY,AEROSPACE VALLEY
838,AEROSPAZIO TECNOLOGIE SRL,Aerospace Technologie srl
839,AEROSPLINE,AEROSPLINE
840,AEROTAIN AG,Aeroton aeroton
841,"AEROTECNIC COMPOSITES, SL","AEROTECNIC COMPOSITES, SL"
842,AEROTECNIC METALLIC SL,AEROTECNIC METALLIC SL
843,AEROTEX UK LLP,AEROTEX UK LLP
844,AEROTIM MUHENDISLIK YAZILIM VE DANISMANLIK SANAYI TICARET LIMITED SIRKETI,AEROTIM MEHENSHIP SOFTWARE AND CONSULATION FIELD TICARET LIMITED SILKING
845,AEROTOOLS UAV SL,AEROTOOLS UAV SL
846,AEROVINCI BV,AEROVINCI BV
847,AEROVISION BV,Aerobic bab
848,AEROX ADVANCED POLYMERS SL,AEROX ADVANCED POLYMERS SL
849,AERSEA AS,AERSEA AS
850,AERTEC SOLUTIONS SL,AERTEC SOLUTIONS SL
851,AES GENER SA,AES January
852,AES LIMITED,AES LIMITED
853,AESCULAP AG,AESCULAP AG
854,AETHERIA HEIGHTS LTD,AETHERIA HEIGHTS LTD
855,AETHON SYMVOULI MICHANIKI MONOPROSOPI IKE,ALON Tip Mental Mental Ministry
856,AETNA GROUP SPA,AETNA GROUP SPA
857,AF CONSULT SWITZERLAND AG,Of Consult Switzerland Aug
858,AF GRUPPEN NORGE AS,By the group Norge AS
859,AF INVENTIONS GMBH,By Inventions GmbH.
860,AF TECHNOLOGY AB,By Technology AB
861,AF-Colenco Ltd,AF-Colenco Ltd
862,AF-CONSULT OY,AF-Consult Oy
863,AFA SYSTEMS SRL,Eassems srl
864,AFAG AUTOMATION AG,AFAG AUTOMATION AG
865,"AFEDEMY, ACADEMY ON AGE-FRIENDLY ENVIRONMENTS IN EUROPE BV","AFEDEMY, ACADEMY ON AGE-FRIENDLY ENVIRONMENTS IN EUROPE BV"
866,AFEKA - THE ACADEMIC COLLEGE OF ENGINEERING IN TEL AVIV,Afeka - The Academic College of Engineering in Tel Aviv
867,AFEKA YISSUMIM LTD,Afeka Yissumim Ltd
868,AFEKTA TECHNOLOGIES LTD,Affected Technologies Ltd
869,AFERETICA SRL,Affertica Srl
870,AFEX GMBH - PRODUKTION UND HANDEL,AFEX GmbH - Production and Trade
871,AFFARSVERKET SVENSKA KRAFTNAT,Affärverket Swedish powered
872,Affectis Phamaceuticals AG,Phamaceuticals feeling AG
873,AFFERENT TECHNOLOGIES SL,AFFERENT TECHNOLOGIES SL
874,AFFIBODY AB,AFFIBODY AB
875,AFFILOGIC,AFFILOGIC
876,AFFIRIS AG,Affiris AG
877,AFGANISTAN RESEARCH AND EVALUATION UNIT (AREU),AFGHANISTAN RESEARCH AND EVALUATION UNIT (AREU)
878,"AFI CONSULTORES DE LAS ADMINISTRACIONES PUBLICAS, S.A.","AFI Consultants of Public Administrations, S.A."
879,"AFI, L UNIVERSITE DE L ENTREPRISE","AFI, the university of the company"
880,AFOI KOUTSANTONI EE,After a Kutandon
881,AFOI ZISIMOPOULOI ANONYMI TECHNIKI ETAIREIA,After Zisimopoulou Anonymous Technical Company
882,AFORE OY,AFORE OY
883,AFPT GMBH,AFPT GmbH
884,AFRIBANANA PRODUCTS LIMITED,AFRIBANANA PRODUCTS LIMITED
885,AFRICA ENERGY SERVICES GROUP LTD,AFRICA ENERGY SERVICES GROUP LTD
886,AFRICA HARVEST BIOTECH FOUNDATION INTERNATIONAL,AFRICA HARVEST BIOTECH FOUNDATION INTERNATIONAL
887,AFRICA TECHNOLOGY BUSINESS NETWORK C.I.C,AFRICA TECHNOLOGY BUSINESS NETWORK C.I.C
888,African Arts Institute,African Arts Institute
889,AFRICAN CENTRE FOR TECHNOLOGY STUDIES,AFRICAN CENTRE FOR TECHNOLOGY STUDIES
890,AFRICAN CENTRE OF METEOROLOGICAL APPLICATION DEVELOPMENT,AFRICAN CENTRE OF METEOROLOGICAL APPLICATION DEVELOPMENT
891,African Circular Economy Network,African Circular Economy Network
892,AFRICAN COLLABORATIVE CENTRE FOR EARTH SYSTEM SCIENCE (ACCESS),AFRICAN COLLABORATIVE CENTRE FOR EARTH SYSTEM SCIENCE (ACCESS)
893,AFRICAN FORUM FOR AGRICULTURAL ADVISORY SERVICES,AFRICAN FORUM FOR AGRICULTURAL ADVISORY SERVICES
894,AFRICAN POPULATION & HEALTH RESEARCH CENTRE KENYA,AFRICAN POPULATION & HEALTH RESEARCH CENTRE KENYA
895,AFRICAN TECHNOLOGY INNOVATION HUBS,AFRICAN TECHNOLOGY INNOVATION HUBS
896,AFRICAN UNION,AFRICAN UNION
897,AFRICAN VIRTUAL UNIVERSITY,AFRICAN VIRTUAL UNIVERSITY
898,AFS ENTWICKLUNGS + VERTRIEBS GMBH,AFS Development + Vertriebs GmbH
899,AFTON CHEMICAL LIMITED,AFTON CHEMICAL LIMITED
900,Afvalzorg Deponie BV,Waste Care Depease BV
901,AFVS - ASSOCIACAO FLORESTAL DO VALE DO SOUSA,AFVS - Forest Association of Sousa Valley
902,AFYREN NEOXY,AFYREN NEOXY
903,AFYX THERAPEUTICS A/S,AFYX THERAPEUTICS A/S
904,AG FUTURA TECHNOLOGII DOOEL SKOPJE,AG Futura Technology Dooel Skopje
905,AG PR ARBEITSGEM PVC BODENBELAG RECYCLING,AG PR Working PVC Flooring Recycling
906,AGA AB,Go to ab
907,AGA KHAN UNIVERSITY,Aga Khan University
908,AGAPLESION FRANKFURTER DIAKONIE KLINIKEN GEMEINNUTZIGE GMBH,Agaplesion Frankfurter Diakonie Clinics Communities GmbH
909,AGC GLASS EUROPE SA,AGC GLASS EUROPE SA
910,AGCO AS,AGCO AS
911,AGCS GAS CLEARING AND SETTLEMENT AG,AGCS GAS CLEARING AND SETTLEMENT AG
912,AGDATAHUB,Agdatahub
913,AGE CONCERN LONDON,AGE CONCERN LONDON
914,AGE PLATFORM EUROPE,AGE PLATFORM EUROPE
915,Age UK Nottingham & Nottinghamshire,Age UK Nottingham & Nottinghamshire
916,AGEAS SA,AGEAS SA
917,AGECARE (CYPRUS) LTD,AGECARE (CYPRUS) LTD
918,AGENA BIOSCIENCE GMBH,AGENA BIOSCIENCE GMBH
919,AGENCE BRUXELLOISE POUR LACCOMPAGNEMENT DE LENTREPRISE,Brussels agency for lake of enterprise
920,AGENCE DE COOPERATION INTERREGIONALE - RESEAU CHEMINS DE SAINT-JACQUES DE COMPOSTELLE,Interregional Cooperation Agency - Saint Jacques de Compostela Trail NETWORK
921,AGENCE DE DEVELOPPEMENT ECONOMIQUE DOCCITANIE,ECONOMIC DEVELOPMENT AGENCY DOCCITANIA
922,AGENCE DE DEVELOPPEMENT ECONOMIQUE DE LA NOUVELLE CALEDONIE ASSOCIATION,Economic Development Agency of the new Caledonia Association
923,AGENCE DE DEVELOPPEMENT ET DINNOVATION AQUITAINE LIMOUSIN POITOU CHARENTES,DEVELOPMENT AND INNOVATION AGENCY Aquitaine Limousin Poitou Charentes
924,AGENCE DE LENVIRONNEMENT ET DE LAMAITRISE DE LENERGIE,Lenergie Environment and Linerity Agency
925,AGENCE DE LINNOVATION EN REGION HAUTE NORMANDIE,Linnovation Agency in Region Upper Normandy
926,AGENCE DE PROMOTION DE LINDUSTRIE ET DE LINNOVATION- API,Agency for the promotion of the Industry and Linnovation- API
927,AGENCE DE SERVICE ET DE PAIEMENT,Service and payment agency
928,AGENCE DE VULGARISATION ET DE LA FORMATION AGRICOLES,Agricultural extension and training agency
929,AGENCE DU NUMÉRIQUE EN SANTÉ,Digital health agency
930,AGENCE ESANTE - AGENCE NATIONALE DES INFORMATIONS PARTAGEES DANS LE DOMAINE DE LA SANTE GIE,Agence ESANTE - National Agency of Share Information in the Field of Health GIE
931,AGENCE EUROPEENNE POUR LINFORMATION ET LE CONSEIL DES JEUNES ASBL,EUROPEAN AGENCY FOR LOFORMATION AND THE YOUNG COUNCIL ADBL
932,AGENCE FEDERALE POUR LA SECURITE DE LA CHAINE ALIMENTAIRE,Federal Agency for Safety of the Food Chain
933,AGENCE FRANCAISE DE DEVELOPPEMENT,FRENCH DEVELOPMENT AGENCY
934,AGENCE FRANCE PRESSE,FRANCE MEDIA AGENCY
935,AGENCE INNOVATION ET INITIATIVES LOCALES ASSOCIATION,Innovation Agency and Local Initiatives Association
936,AGENCE INTERCOMMUNALE DEDEVELOPPEMENT DES ARRONDISSEMENTSDE TOURNAI DATH ET DE COMMUNESAVOISINANTES,Intercommunal Agency DeDevelopment of the Arrondissements of Tournai Dath and Communes
937,AGENCE LOCALE DE LENERGIE ET DU CLIMAT DE LAIN,Local Lenergy and Climate Agency of Wool
938,AGENCE LOCALE DE LA TRANSITION ENERGETIQUE DU RHONE,Local Agency of the Rhone Energetic Transition
939,Agence marocaine pour lefficacite energetique,Moroccan Agency for Energetic Lefficacite
940,AGENCE NATIONALE DE LA PROMOTION DE LA RECHERCHE SCIENTIFIQUE,National Agency for the Promotion of Scientific Research
941,AGENCE NATIONALE DE LA RECHERCHE,National Research Agency
942,AGENCE NATIONALE DE LA SECURITE SANITAIRE DE L ALIMENTATION DE L ENVIRONNEMENT ET DU TRAVAIL,National Agency for Environmental and Labor Food Safety
943,AGENCE NATIONALE DE LA STATISTIQUE ET DE LA DEMOGRAPHIE,National Agency for Statistics and Demography
944,AGENCE NATIONALE DE PROTECTION DE LENVIRONNEMENT,National Agency for the Protection of Environment
945,AGENCE NATIONALE DE SANTE PUBLIQUE,National Public Health Agency
946,AGENCE NATIONALE DE SECURITE DU MEDICAMENT ET DES PRODUITS DE SANTE,National Safety Agency for Medicament and Health Products
947,AGENCE NATIONALE DE VALORISATION DES RESULTATS DE LA RECHERCHE ET DU DEVELOPPEMENT TECHNOLOGIQUE,National Agency for Valorisation of Results of Research and Technological Development
948,Agence Nationale des Technologies de lInformation et de la Communication,National Agency for Information and Communication Technologies
949,AGENCE NATIONALE POUR LA GESTION DES DECHETS RADIOACTIFS,National Agency for the Management of Radioactive Waste
950,AGENCE NATIONALE POUR LA MAITRISE DE LENERGIE,National Agency for the Master of Lenergy
951,AGENCE NATIONALE POUR LES ENERGIES RENOUVELABLES,National Agency for Renewable Energies
952,AGENCE OBSERVAT AMENAGE HABITAT REUNION,AGENCE OBJECT MANAGEMENT HABITAT REUNION
953,AGENCE PARISIENNE DU CLIMAT ASSOCIATION,Parisian Climate Agency Association
954,AGENCE POUR LENTREPRISE ET LINNOVATION SA,AGENCY FOR COMPANY AND LINNOVATION SA
955,AGENCE POUR LA COOPERATION SCIENTIFIQUE AFRIQUE LUXEMBOURG ASBL,Agency for Scientific Cooperation Africa Luxembourg Asbl
956,AGENCE POUR LA SECURITE DE LA NAVIGATION AERIENNE EN AFRIQUE ET A MADAGASCAR,Agency for the Security of Aerial Navigation in Africa and Madagascar
957,Agence pour les mathématiques en interaction avec lentreprise et la société,Agency for mathematics interacting with enterprise and society
958,AGENCE QUALITE CONSTRUCTION,AGENCE QUALITY CONSTRUCTION
959,AGENCE REGIONALE DE DEVELOPPEMENT ET DINNOVATION HAUTS DE FRANCE,REGIONAL DEVELOPMENT AND DEVELATION AGENCY HAUTS DE FRANCE
960,AGENCE REGIONALE POUR LES TRAVAUX D ECONOMIES DENERGIE,REGIONAL AGENCY FOR THE WORK OF ECONOMIES DEnergy
961,AGENCE TER,Agency ter
962,AGENCE UNIVERSITAIRE DE LA FRANCOPHONIE,University Agency of La Francophonie
963,AGENCIA ANDALUZA DE LA ENERGIA,Andalusian Energy Agency
964,AGENCIA ANDALUZA DEL CONOCIMIENTO,Andalusian Agency of Knowledge
965,Agència Catalana de lAigua,Catalan Laigua Agency
966,AGENCIA CATALANA DE LA JUVENTUD,Catalan Juventud Agency
967,AGENCIA DE DESARROLLO ECONOMICO DE LA RIOJA,Economic Development Agency of La Rioja
968,AGENCIA DE ECOLOGIA URBANA DE BARCELONA,Urban Ecology Agency of Barcelona
969,AGENCIA DE ENERGIA E AMBIENTE DA ARRABIDA,Energy Agency and Arrabida Environment
970,AGENCIA DE GESTIO DAJUTS UNIVERSITARIS I DE RECERCA,Agency of Management University and Research Dajuts
971,AGENCIA DE INNOVACION Y DESARROLLODE ANDALUCIA,Innovation Agency and Development Andalucia
972,AGENCIA DE LHABITATGE DE CATALUNYA,AGENCIA DE LÀMITA DE CATALUNYA
973,AGENCIA DE MEDIO AMBIENTE Y AGUA DE ANDALUCIA,Environmental and Water Agency of Andalucia
974,AGENCIA DE QUALITAT I AVALUACIO SANITARIES DE CATALUNYA,Quality agency and health assessment of Catalonia
975,AGENCIA DE RESIDUS DE CATALUNYA,Agency of Waste of Catalonia
976,Agencia de Salut Publica de Barcelona,Public Health Agency of Barcelona
977,"AGENCIA EFE SAU, S.M.E.","Agenko Ango comes, S.m.e."
978,AGENCIA ESPACIAL PORTUGUESA - PORTUGAL SPACE,Space Agency - Portugal Space
979,"AGENCIA ESPANOLA DE CONSUMO, SEGURIDAD ALIMENTARIA Y NUTRICION","Espanola agency of consumption, food security and nutrition"
980,AGENCIA ESPANOLA DE MEDICAMENTOS Y PRODUCTOS SANITARIOS,Espanola agency of medicines and health products
981,AGENCIA ESPANOLA DE PROTECCION DE DATOS,Data Protection Espanola Agency
982,AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS,State Agency Superior Council Deinvestigations Scientific
983,AGENCIA ESTATAL DE INVESTIGACION,State Investigation Agency
984,AGENCIA ESTATAL DE METEOROLOGIA,METEOROLOGY STATAL AGENCY
985,AGENCIA ESTATAL DE SEGURIDAD AEREA,STATE AIR SAFETY AGENCY
986,AGENCIA EXTREMENA DE LA ENERGIA,Extremna Agency of Energy
987,AGENCIA GALLEGA DE LA CALIDAD ALIMENTARIA,Galician Food Quality Agency
988,AGENCIA MUNICIPAL DE ENERGIA DE ALMADA,Municipal Agency of Almada Energy
989,AGENCIA MUNICIPAL DE ENERGIA DO SEIXAL ASSOCIACAO,Municipal Energy Agency of Seixal Association
990,AGENCIA NACIONAL DE INVESTIGACION E INNOVACION,National Agency for Investigation and Innovation
991,AGENCIA NACIONAL DE INVESTIGACION Y DESARROLLO,National Agency for Research and Development
992,AGENCIA PARA A MODERNIZACAO ADMINISTRATIVA IP,Agency for Modernizacao IP Administrative
993,AGENCIA PAULISTA DE TECNOLOGIA DOS AGRONEGOCIOS,Agency Paulista of Technology of the Agribusing
994,AGENCIA PER A LA COMPETITIVITAT DE LA EMPRESA,Agency for the competitiveness of the company
995,AGENCIA PER A LA QUALITAT DEL SISTEMA UNIVERSITARI DE CATALUNYA,Agency for the quality of the university system of Catalonia
996,AGENCIA PORTUGUESA DO AMBIENTE IP,Portuguese agency of the IP environment
997,AGENCIA PUBLICA EMPRESARIAL SANITARIA COSTA DEL SOL,Public Business Agency Sanitary Costa del Sol
998,AGENCIA REGIONAL DA ENERGIA E AMBIENTE DA REGIAO AUTONOMA DA MADEIRA,Regional agency of energy and environment of the autonomous autonomous
999,AGENCIA REGIONAL DE ENERGIA E AMBIENTE DO OESTE OESTESUSTENTAVEL,Regional Agency of Energy and Environment of the Oestesustentavel West
1000,AGENCIA VALENCIANA DE SEGURIDAD YRESPUESTA A LAS EMERGENCIAS,Valencian Security Agency Yrespuesta to Emergencies
1001,AGENCIA VASCA DEL AGUA URA,Basque Agency of Water URA
1002,AGENCIJA MITNICI,Agency Mitnica
1003,AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO CRNE GORE PODGORICA,Civil Aviation Agency Montenegro Podgorica
1004,AGENCIJA ZA ENERGIJO,Energy Agency
1005,AGENCIJA ZA LIJEKOVE I MEDICINSKE PROIZVODE,Agency for Medicines and Medical Products
1006,AGENCIJA ZA MOBILNOST I PROGRAME EUROPSKE UNIJE,The Agency for Mobility and European Union Programs
1007,AGENCIJA ZA PRAVNI PROMET I POSREDOVANJE NEKRETNINAMA,Agency for legal transport and real estate mediation
1008,AGENCIJA ZA PRESTRUKTURIRANJE ENERGETIKE DOO,Energy Restructuring Agency doo
1009,AGENCJA OCENY TECHNOLOGII MEDYCZNYCH I TARYFIKACJI,Agency for assessing medical technologies and tariffs
1010,AGENCJA ROZWOJU AGLOMERACJI WROCLAWSKIEJ SPOLKA AKCYJNA,Agencja Development of the Wroclaw agglomeration
1011,AGENCJA ROZWOJU MAZOWSZA SPOLKA AKCYJNA,Agencja Development Mazowsze Spoola Stock
1012,AGENCJA ROZWOJU REGIONALNEGO SA,Agency of Regional Development SA
1013,AGENCJA ROZWOJU REGIONALNEGO SPOLKA AKCYJNA W KONINIE,Regional Development Agency A Stock Transportation in Konin
1014,AGENCJA UZYTKOWANIA I POSZANOWANIA ENERGII SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,Agency for the use and respect of energy. Translation of a limited liability
1015,Agency for Health Quality & Assessment of Catalonia,Agency for Health Quality & Assessment of Catalonia
1016,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY
1017,AGENDA Z.S.,Agenda Z.S.
1018,AGENDIA NV,AGENDIA NV
1019,AGENFOR ITALIA ASSOCIAZIONE,Agenfor Italia Association
1020,AGENTFLY TECHNOLOGIES SRO,AGENTFLY TECHNOLOGIES SRO
1021,Agentia de Administrare a Retelei Nationale de Informatica Pentru Educatie si Cercetare,The Agency for the Administration of National Informatics Network for Education and Research
1022,AGENTIA DE DEZVOLTARE REGIONALA NORD-VEST,Northwest Regional Development Agency
1023,Agentia Locala a Energiei Alba,Local White Energy Agency
1024,AGENTIA METROPOLITANA PENTRU DEZVOLTARE DURABILA BRASOV ASOCIATIA,Metropolitan Agency for Sustainable Development Brasov Association
1025,AGENTIA NATIONALA DE CADASTRU SI PUBLICITATE IMOBILIARA,National Agency for Cadastre and Real Estate Advertising
1026,AGENTIA NATIONALA PENTRU CERCETARE SI DEZVOLTARE,National Agency for Research and Development
1027,AGENTIA PENTRU DEZVOLTARE REGIONALA BUCURESTI -ILFOV,Regional Development Agency Bucharest -ilfov
1028,AGENTIA PENTRU DEZVOLTARE REGIONALA CENTRU,Regional Development Agency
1029,Agentia pentru Dezvoltare Regionala Nord-Est,Northeast Regional Development Agency
1030,AGENTIA PENTRU DEZVOLTARE REGIONALA SUD-VEST OLTENIA,Southwest Regional Development Agency Oltenia
1031,AGENTIA PENTRU DEZVOLTARE REGIONALASUD-MUNTENIA,Regional Development Agency - Muntenia
1032,AGENTIA PENTRU EFICIENTA ENERGETICASI ENERGII REGENERABILE PLOIESTI-PRAHOVA ASOCIATIE,Energy Efficiency Agency Renewable Energy Ploiesti-Prahova Association
1033,AGENTIA PENTRU MANAGEMENTUL ENERGIEI SI PROTECTIA MEDIULUI BRASOV,Agency for Energy Management and Environmental Protection Brasov
1034,AGENTIA PENTRU PROTECTIA MEDIULUI COVASNA,Covasna Environmental Protection Agency
1035,Agentia Romana de Asigurare a Calitatii in Invatamantul Preuniversitar,Romanian Quality Assurance Agency in Pre-University Education
1036,AGENTIA ROMANA DE ASIGURARE A CALITATII IN INVATAMANTUL SUPERIOR ARACIS,Romanian Quality Assurance Agency in ARACIS Higher Education
1037,AGENTIA SPATIALA ROMANA,Romanian Space Agency
1038,AGENTSCAPE AG,AGENTSCAPE AG
1039,AGENTSCHAP COLLEGE TER BEOORDELING VAN GENEESMIDDELEN,Agency College for Medicines Evaluation
1040,AGENTSCHAP PLANTENTUIN MEISE,Agency Plantentuin Meise
1041,AGENTSCHAP VOOR INNOVATIE DOOR WETENSCHAP EN TECHNOLOGIE,Agency for Innovation through Science and Technology
1042,AGENTSIA ZA IKONOMICHESKO RAZVITIE- VARNA,Agency for Economic Development -
1043,AGENTSIYA ZA REGIONALNO IKONOMICHESKO RAZVITIE,Agency for Regional Economic Development
1044,AGENTUR FUR EUROPAISCHE INTEGRATION UND WIRTSCHAFTLICHE ENTWICKLUNG VEREIN,Agency for European integration and economic development association
1045,AGENTUR FUR INNOVATIONSFORDERUNG UND TECHNOLOGIETRANSFER GMBH LEIPZIG,Agency for innovation claim and TechnologyTransfer GmbH Leipzig
1046,AGENTURA PRO PODPORU PODNIKANI A INVESTIC CZECHINVEST,Cover and Investment Agency CzechInvest
1047,AGENZIA ANSA - AGENZIA NAZIONALE STAMPA ASSOCIATA - SOCIETA COOPERATIVA,ANSA Agency - Associated National Press Agency - Cooperative Society
1048,AGENZIA DELLE DOGANE,CUSTOMS AGENCY
1049,AGENZIA DI PROMOZIONE TERRITORIALE DELLA BASILICATA,Territorial promotion agency of Basilicata
1050,AGENZIA FORESTALE REGIONALE PER LOSVILUPPO DEL TERRITORIO E DELL AMBIENTE DELLA SARDEGNA,Regional Forest Agency for Territory Losvoluppo and Sardinia Environment
1051,AGENZIA ITALIANA DEL FARMACO,Italian Medication Agency
1052,AGENZIA ITALIANA PER LINTERNAZIONALIZZAZIONE - PROMOS ITALIA SCRL,Italian Linternazionalization Agency - Promos Italia Scrl
1053,AGENZIA LOCALE PER LENERGIA E LO SVILUPPO SOSTENIBLE DELLA PROVINCIADI CONSENZA SRL,Local agency for energy and sustainable development of the Province of Consenza Srl
1054,AGENZIA LUCANA DI SVILUPPO E DI INNOVAZIONE IN AGRICOLTURA,Lucanian development agency and innovation in agriculture
1055,AGENZIA MOBILITA AMBIENTE E TERRITORIO SRL,Environment Mobilita Agency and Territory Srl
1056,AGENZIA NAPOLETANA PER LENERGIA E PER LAMBIENTE,Neapolitan Agency for Lenegia and Lambiente
1057,AGENZIA NAZIONALE PER I SERVIZI SANITARI REGIONALI,National Agency for Regional Health Services
1058,"AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, LENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE","National Agency for New Technologies, Lenernia and Sustainable Economic Development"
1059,AGENZIA PER LENERGIA ALTO ADIGE -CASACLIMA,Agency for Lenegia Alto Adige -Casaclima
1060,AGENZIA PER LENERGIA E LO SVILUPPO SOSTENIBILE ASSOCIAZIONE,Agency for Lenegia and sustainable development Association
1061,AGENZIA PER LITALIA DIGITALE,Agency for digital lyalia
1062,AGENZIA PER LA PROMOZIONE DELLA RICERCA EUROPEA,Agency for the promotion of European research
1063,AGENZIA PER LE EROGAZIONI IN AGRICOLTURA AGEA,Agency for disbursements in agà agriculture
1064,AGENZIA REGIONALE DI SANITA,Regional Sanita Agency
1065,"AGENZIA REGIONALE PER LA PREVENZIONE, LAMBIENTE E LENERGIA DELLEMILIA-ROMAGNA","Regional Agency for Prevention, Lambiente and Lenernia DELEMILIA-ROMAGNA"
1066,AGENZIA REGIONALE PER LA PROTEZIONE AMBIENTALE DEL PIEMONTE,Regional Agency for Environmental Protection of Piedmont
1067,AGENZIA REGIONALE PER LA PROTEZIONE AMBIENTALE DELLA TOSCANA,Regional agency for the environmental protection of Tuscany
1068,AGENZIA REGIONALE PER LA PROTEZIONE DELLAMBIENTE,Regional Agency for the Delembient protection
1069,AGENZIA REGIONALE PER LA PROTEZIONE DELLAMBIENTE LIGURE - ARPAL,Regional Ligurian Protection Agency - ARPAL
1070,AGENZIA REGIONALE PER LA SALUTE ED IL SOCIALE,Regional health and social agency
1071,AGENZIA REGIONALE PER LA TECNOLOGIA E LINNOVAZIONE,Regional Agency for Technology and Linnovation
1072,AGENZIA SERVIZI SETTORE AGROALIMENTARE MARCHE (ASSAM),Agency services agri-food sector brands (assam)
1073,AGENZIA SPAZIALE ITALIANA,Italian Space Agency
1074,AGENZIA TERRITORIALE PER LENERGIAE LA SOSTENIBILITA DI PARMA,TERRITORIAL AGENCY FOR LENERIAE THE SUSTAINABILITY OF PARMA
1075,AGENZIA TERRITORIALE PER LA CASA DEL PIEMONTE CENTRALE,Territorial Agency for the Central Piedmont House
1076,AGENZIA TRASPORTO PUBBLICO LOCALE DEL BACINO DELLA CITTA METROPOLITANA DI MILANO MONZA E BRIANZA LODI E PAVIA,Local public transport agency of the Metropolitan City Basin in Milan Monza and Brianza Lodi and Pavia
1077,AGENZIA VENETA PER LINNOVAZIONE NEL SETTORE PRIMARIO,Venetian Agency for Linnovation in the primary sector
1078,AGERE SRL,Agere srl
1079,AGFA GEVAERT NV,Agfa Gevaert NV
1080,"AGFW-PROJEKTGESELLSCHAFT FUR RATIONALISIERUNG, INFORMATION UND STANDARDISIERUNG MBH","AGFW project company for rationalization, information and standardization mbH"
1081,AGGELIDIS I.-PALLIKARIDIS X. OE,Angelidis H.-Pallokaridis Ch.
1082,AGGERVERBAND,Agger bandage
1083,AGGREGAZIONE PUBBLICO PRIVATA SULLALOGISTICA MARE TERRA SOCIETA CONSORTILE A RESPONSABILITA LIMITATA,Private public aggregation on the Sea Sea Terra Limited Liability Consortium Company
1084,AGHETERA SAS DI VALE MANFREDI & C,Aghetera Sas by Vale Manfredi & C
1085,AGIE CHARMILLES NEW TECHNOLOGIES SA,HIMI Hamilis Neo Technologies
1086,AGIL PACKAGING SYSTEM S.L.,AGIL PACKAGING SYSTEM S.L.
1087,AGILE HEAP EV,AGILE HEAP EV
1088,Agile Lab,Agile Lab
1089,AGILE POWER SWITCH 3D - INTEGRATIONAPSI3D,AGILE POWER SWITCH 3D - INTEGRATIONAPSI3D
1090,AGILE ROBOTS AG,AGILE ROBOTS AG
1091,AGILE WIND POWER AG,AGILE WIND POWER AG
